OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1962:2,31.2373333,41.44966761,24.68533325,82.64200083,43.00700124,35.79133352,41.26866659,38.7463328,48.15833282,59.1193339,33.10633341,46.92266719,39.36166636,40.04433314
1962:3,31.71733348,32.97500102,24.84766642,81.48599752,43.52300008,32.66366704,43.85366567,39.03366725,52.61700058,61.06766764,32.71366628,47.51966731,39.79000092,39.70733388
1962:4,31.10633278,44.25999959,25.54333305,79.11799876,43.94733302,37.88933309,43.59233348,39.75833257,48.37533442,61.83833313,34.80866623,47.76166662,40.06633377,40.45166651
1963:1,31.80500031,43.4386673,25.10999997,85.71533203,44.50900014,37.11333338,48.42366791,40.34600067,47.97499975,64.964667,34.03499985,45.45433299,40.21833293,40.91533279
1963:2,32.63466644,46.24933497,27.20566686,86.13866679,45.46433385,38.93200048,43.6843338,40.94766744,49.92833455,61.85966619,35.33266703,46.82566706,41.57233429,42.60066732
1963:3,32.66699982,33.82566643,28.48766645,84.78533427,45.38866806,34.79933294,46.99266688,40.67433294,51.86533356,65.02866618,35.54699961,50.89166641,41.47566605,41.8136673
1963:4,33.83500036,49.36199951,27.57566706,81.74000041,46.6780014,41.66533279,45.51566696,42.09633255,50.64666494,65.09299978,37.88033295,50.37533442,42.52533468,43.21866735
1964:1,33.45300039,47.30099869,25.81433296,88.3100001,46.70866648,40.43233363,50.16233317,42.30133438,49.4943339,65.17866643,37.070666,49.05233383,42.52566528,43.59800084
1964:2,36.50900014,50.67333221,28.96666654,88.92966715,48.28633245,42.40266673,46.71566645,43.49066671,52.31633377,64.60066732,38.30900065,50.27866745,44.18333435,45.25533422
1964:3,38.60466512,36.67933337,30.42066701,87.52000173,48.24066671,37.78766632,51.02399953,43.1490008,54.57066727,66.42066701,38.63033295,53.11833191,44.0036672,44.83399963
1964:4,37.73166656,46.65233231,29.7070001,86.56133525,49.01433309,43.3440005,48.79299927,44.40633265,53.01766713,65.71399943,41.90366618,51.4406662,44.81900024,46.2240003
